date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,1,0,0.3
2020-03-03,0,0,0.3
2020-03-04,0,0,0.3
2020-03-05,0,0,0.3
2020-03-06,0,0,0.3
2020-03-07,0,0,0.3
2020-03-08,0,0,0.3
2020-03-09,0,0,0.0
2020-03-10,2,0,0.6
2020-03-11,2,0,1.2
2020-03-12,1,0,1.4
2020-03-13,0,0,1.4
2020-03-14,0,0,1.4
2020-03-15,2,0,2.0
2020-03-16,2,0,2.6
2020-03-17,1,0,2.3
2020-03-18,2,0,2.3
2020-03-19,4,0,3.3
2020-03-20,3,0,4.1
2020-03-21,2,0,4.7
2020-03-22,3,0,5.0
2020-03-23,5,0,5.8
2020-03-24,4,0,6.7
2020-03-25,5,0,7.6
2020-03-26,5,0,7.8
2020-03-27,17,0,12.0
2020-03-28,11,0,14.6
2020-03-29,23,0,20.4
2020-03-30,16,0,23.7
2020-03-31,18,0,27.7
2020-04-01,29,0,34.7
2020-04-02,26,0,40.8
2020-04-03,36,0,46.3
2020-04-04,31,0,52.2
2020-04-05,32,0,54.8
2020-04-06,31,0,59.1
2020-04-07,30,0,62.7
2020-04-08,28,0,62.3
2020-04-09,27,0,62.7
2020-04-10,25,0,59.5
2020-04-11,16,0,55.1
2020-04-12,27,0,53.6
2020-04-13,15,0,49.0
2020-04-14,22,0,46.6
2020-04-15,22,0,44.9
2020-04-16,29,0,45.5
2020-04-17,31,24,47.2
2020-04-18,25,28,49.8
2020-04-19,24,21,49.0
2020-04-20,22,29,51.0
2020-04-21,43,18,57.1
2020-04-22,28,15,58.9
2020-04-23,29,26,58.9
2020-04-24,24,31,56.8
2020-04-25,24,16,56.5
2020-04-26,17,21,54.5
2020-04-27,37,23,58.9
2020-04-28,47,18,60.1
2020-04-29,32,3,61.2
2020-04-30,33,31,62.3
2020-05-01,37,23,66.2
2020-05-02,25,29,66.5
2020-05-03,26,12,69.1
2020-05-04,23,18,65.0
2020-05-05,27,9,59.2
2020-05-06,34,13,59.8
2020-05-07,20,9,56
2020-05-08,41,7,57.1
2020-05-09,18,10,55.1
2020-05-10,21,7,53.6
2020-05-11,36,13,57.4
2020-05-12,33,10,59.1
2020-05-13,32,6,58.6
2020-05-14,34,14,62.7
2020-05-15,24,17,57.8
2020-05-16,23,8,59.2
2020-05-17,19,7,58.6
2020-05-18,31,3,57.1
2020-05-19,28,17,55.7
2020-05-20,29,11,54.8
2020-05-21,12,15,48.4
2020-05-22,19,26,46.9
2020-05-23,20,12,46.0
2020-05-24,16,5,45.2
2020-05-25,8,9,38.5
2020-05-26,26,9,37.9
2020-05-27,13,6,33.2
2020-05-28,25,8,37.0
2020-05-29,22,7,37.9
2020-05-30,8,13,34.4
2020-05-31,12,11,33.2
2020-06-01,20,4,36.7
2020-06-02,14,6,33.2
2020-06-03,11,6,32.6
2020-06-04,14,7,29.4
2020-06-05,4,5,24.2
2020-06-06,10,7,24.8
2020-06-07,6,2,23.0
2020-06-08,6,2,19.0
2020-06-09,6,11,16.6
2020-06-10,8,2,15.8
2020-06-11,6,3,13.4
2020-06-12,9,2,14.8
2020-06-13,9,0,14.6
2020-06-14,6,3,14.6
2020-06-15,8,5,15.1
2020-06-16,10,5,16.4
2020-06-17,8,4,16.3
2020-06-18,5,5,16.1
2020-06-19,5,5,14.9
2020-06-20,1,5,12.5
2020-06-21,3,3,11.7
2020-06-22,3,2,10.2
