date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-05,1,0,0.0
2020-03-06,0,0,0.0
2020-03-07,3,0,1.1
2020-03-08,1,0,1.5
2020-03-09,0,0,1.5
2020-03-10,3,0,2.6
2020-03-11,5,0,4.5
2020-03-12,5,0,6.4
2020-03-13,11,0,10.6
2020-03-14,8,0,12.5
2020-03-15,3,0,13.2
2020-03-16,4,0,14.7
2020-03-17,16,0,19.7
2020-03-18,7,0,20.4
2020-03-19,7,0,21.2
2020-03-20,15,0,22.7
2020-03-21,11,0,23.8
2020-03-22,5,0,24.6
2020-03-23,9,0,26.5
2020-03-24,24,0,29.5
2020-03-25,12,0,31.4
2020-03-26,13,0,33.6
2020-03-27,26,0,37.8
2020-03-28,19,0,40.9
2020-03-29,12,0,43.5
2020-03-30,21,0,48.0
2020-03-31,23,0,47.6
2020-04-01,19,0,50.3
2020-04-02,17,0,51.9
2020-04-03,11,0,46.1
2020-04-04,21,0,46.9
2020-04-05,11,0,46.5
2020-04-06,25,0,48.1
2020-04-07,15,0,45.1
2020-04-08,33,0,50.3
2020-04-09,19,0,51.0
2020-04-10,25,0,56.4
2020-04-11,9,0,51.8
2020-04-12,9,0,51.1
2020-04-13,26,0,51.4
2020-04-14,17,0,52.1
2020-04-15,17,0,46.2
2020-04-16,26,0,48.8
2020-04-17,27,17,49.5
2020-04-18,25,15,55.6
2020-04-19,14,25,57.5
2020-04-20,26,23,57.5
2020-04-21,24,18,60.2
2020-04-22,47,14,71.5
2020-04-23,25,27,71.1
2020-04-24,38,16,75.3
2020-04-25,24,37,74.9
2020-04-26,22,12,77.9
2020-04-27,29,37,79.0
2020-04-28,15,23,75.6
2020-04-29,42,12,73.7
2020-04-30,18,20,71.1
2020-05-01,35,15,69.9
2020-05-02,9,38,64.3
2020-05-03,13,6,60.9
2020-05-04,20,23,57.5
2020-05-05,8,8,54.9
2020-05-06,10,6,42.7
2020-05-07,20,15,43.5
2020-05-08,9,8,33.7
2020-05-09,9,2,33.6
2020-05-10,13,16,33.6
2020-05-11,8,4,29.2
2020-05-12,7,8,28.7
2020-05-13,6,2,27.3
2020-05-14,10,8,23.5
2020-05-15,17,2,26.5
2020-05-16,10,0,26.9
2020-05-17,8,1,25.0
2020-05-18,2,8,22.6
2020-05-19,5,7,21.9
2020-05-20,4,3,21.2
2020-05-21,12,5,21.9
2020-05-22,11,3,19.7
2020-05-23,10,8,19.6
2020-05-24,7,11,19.3
2020-05-25,7,4,21.2
2020-05-26,5,2,21.2
2020-05-27,10,2,23.4
2020-05-28,8,2,21.9
2020-05-29,5,4,19.6
2020-05-30,7,0,18.6
2020-05-31,5,0,17.8
2020-06-01,13,0,20.1
2020-06-02,10,3,22.0
2020-06-03,10,2,21.9
2020-06-04,5,3,20.8
2020-06-05,0,1,18.9
2020-06-06,5,13,18.1
2020-06-07,3,3,17.4
2020-06-08,1,1,12.8
2020-06-09,6,1,11.3
2020-06-10,6,2,9.9
2020-06-11,7,1,10.6
2020-06-12,1,5,11.0
2020-06-13,1,3,9.5
2020-06-14,2,3,9.0
2020-06-15,4,0,10.2
2020-06-16,6,0,10.2
2020-06-17,2,2,8.7
2020-06-18,11,3,10.2
2020-06-19,1,2,10.2
2020-06-20,3,1,10.9
2020-06-21,0,0,10.2
2020-06-22,1,1,9.1
2020-06-23,4,0,8.3
2020-06-24,4,0,9.0
2020-06-25,2,0,5.7
2020-06-26,5,0,7.2
2020-06-27,2,2,6.8
2020-06-28,2,1,7.6
2020-06-29,4,3,8.7
2020-06-30,3,0,8.4
2020-07-01,2,314,7.6
2020-07-02,2,3,7.6
2020-07-03,2,0,6.4
2020-07-04,1,3,6.1
2020-07-05,0,1,5.3
2020-07-06,1,2,4.2
2020-07-07,2,0,3.7
2020-07-08,2,1,3.8
2020-07-09,1,2,3.4
2020-07-10,0,2,2.7
2020-07-11,1,1,2.6
2020-07-12,1,0,3.0
2020-07-13,2,2,3.4
2020-07-14,4,1,4.2
2020-07-15,4,1,4.9
2020-07-16,0,2,4.5
2020-07-17,3,2,5.6
2020-07-18,1,1,5.7
2020-07-19,1,5,5.7
2020-07-20,5,3,6.8
2020-07-21,16,1,11.3
2020-07-22,4,3,11.4
2020-07-23,6,16,13.6
2020-07-24,5,2,14.4
2020-07-25,2,7,14.8
