date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,3,0
2020-03-10,4,0
2020-03-11,10,0
2020-03-12,9,0
2020-03-13,3,0
2020-03-14,7,0
2020-03-15,8,0
2020-03-16,10,0
2020-03-17,23,0
2020-03-18,21,0
2020-03-19,22,0
2020-03-20,21,0
2020-03-21,18,0
2020-03-22,26,0
2020-03-23,46,0
2020-03-24,28,0
2020-03-25,45,0
2020-03-26,44,0
2020-03-27,48,0
2020-03-28,32,0
2020-03-29,52,0
2020-03-30,58,0
2020-03-31,46,0
2020-04-01,56,0
2020-04-02,59,0
2020-04-03,55,0
2020-04-04,49,0
2020-04-05,36,0
2020-04-06,37,0
2020-04-07,28,0
2020-04-08,43,0
2020-04-09,29,0
2020-04-10,40,0
2020-04-11,22,0
2020-04-12,27,0
2020-04-13,26,0
2020-04-14,32,0
2020-04-15,30,0
2020-04-16,40,0
2020-04-17,36,40
2020-04-18,28,34
2020-04-19,21,22
2020-04-20,17,24
2020-04-21,20,32
2020-04-22,17,16
2020-04-23,16,22
2020-04-24,16,13
2020-04-25,14,9
2020-04-26,13,12
2020-04-27,20,10
2020-04-28,19,8
2020-04-29,18,2
2020-04-30,18,8
2020-05-01,18,6
2020-05-02,9,10
2020-05-03,4,1
2020-05-04,8,9
2020-05-05,6,23
2020-05-06,8,2
2020-05-07,8,3
2020-05-08,19,2
2020-05-09,8,11
2020-05-10,3,3
2020-05-11,8,2
2020-05-12,6,9
2020-05-13,4,1
2020-05-14,7,3
2020-05-15,3,1
2020-05-16,1,13
2020-05-17,3,7
2020-05-18,5,0
2020-05-19,11,0
2020-05-20,10,3
2020-05-21,3,5
2020-05-22,5,5
2020-05-23,3,5
2020-05-24,4,2
2020-05-25,1,1
2020-05-26,1,4
2020-05-27,3,3
2020-05-28,2,0
2020-05-29,1,1
2020-05-30,7,0
2020-05-31,6,1
2020-06-01,0,0
2020-06-02,1,5
2020-06-03,2,2
2020-06-04,2,0
2020-06-05,5,3
2020-06-06,3,0
2020-06-07,2,2
2020-06-08,1,0
2020-06-09,4,3
2020-06-10,4,0
2020-06-11,4,0
2020-06-12,3,3
2020-06-13,3,2
2020-06-14,0,4
2020-06-15,3,0
2020-06-16,4,4
2020-06-17,1,0
2020-06-18,1,3
2020-06-19,1,0
2020-06-20,2,1
2020-06-21,4,1
2020-06-22,2,2
2020-06-23,2,2
2020-06-24,2,0
2020-06-25,5,5
2020-06-26,4,0
2020-06-27,0,4
2020-06-28,2,0
2020-06-29,1,1
2020-06-30,2,0
2020-07-01,2,220
2020-07-02,1,3
2020-07-03,0,0
2020-07-04,2,0
2020-07-05,3,0
2020-07-06,4,1
2020-07-07,4,2
2020-07-08,2,1
2020-07-09,1,3
2020-07-10,0,5
2020-07-11,0,1
2020-07-12,2,2
2020-07-13,1,0
2020-07-14,2,3
2020-07-15,2,0
2020-07-16,2,1
2020-07-17,2,0
2020-07-18,0,5
2020-07-19,0,3
2020-07-20,3,0
2020-07-21,6,1
2020-07-22,9,1
2020-07-23,3,9
2020-07-24,6,4
2020-07-25,2,4
2020-07-26,3,5
2020-07-27,8,6
2020-07-28,3,1
2020-07-29,3,6
2020-07-30,4,3
2020-07-31,3,2
2020-08-01,1,6
2020-08-02,1,3
2020-08-03,0,3
2020-08-04,1,2
2020-08-05,4,0
2020-08-06,5,0
