date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-28,1,0,0.0
2020-02-29,0,0,0.0
2020-03-01,2,0,1.1
2020-03-02,0,0,1.1
2020-03-03,0,0,1.1
2020-03-04,0,0,1.1
2020-03-05,0,0,1.1
2020-03-06,0,0,1.1
2020-03-07,1,0,1.6
2020-03-08,0,0,0.5
2020-03-09,0,0,0.5
2020-03-10,0,0,0.5
2020-03-11,0,0,0.5
2020-03-12,0,0,0.5
2020-03-13,3,0,2.1
2020-03-14,0,0,1.6
2020-03-15,0,0,1.6
2020-03-16,1,0,2.1
2020-03-17,2,0,3.1
2020-03-18,2,0,4.2
2020-03-19,2,0,5.2
2020-03-20,1,0,4.2
2020-03-21,2,0,5.2
2020-03-22,7,0,8.9
2020-03-23,3,0,10.0
2020-03-24,8,0,13.2
2020-03-25,3,0,13.6
2020-03-26,14,0,20.0
2020-03-27,9,0,24.1
2020-03-28,10,0,28.3
2020-03-29,7,0,28.3
2020-03-30,16,0,35.1
2020-03-31,7,0,34.6
2020-04-01,16,0,41.5
2020-04-02,8,0,38.2
2020-04-03,18,0,43.0
2020-04-04,11,0,43.6
2020-04-05,17,0,48.8
2020-04-06,24,0,53.0
2020-04-07,28,0,63.9
2020-04-08,24,0,68.1
2020-04-09,23,0,76.1
2020-04-10,20,0,77.1
2020-04-11,26,0,84.9
2020-04-12,16,0,84.4
2020-04-13,21,0,82.8
2020-04-14,11,0,74.0
2020-04-15,31,0,77.6
2020-04-16,25,0,78.6
2020-04-17,31,10,84.4
2020-04-18,37,23,90.2
2020-04-19,15,14,89.7
2020-04-20,24,26,91.2
2020-04-21,11,13,91.2
2020-04-22,19,6,85.0
2020-04-23,25,15,85.0
2020-04-24,27,13,82.8
2020-04-25,10,14,68.7
2020-04-26,9,11,65.5
2020-04-27,20,18,63.5
2020-04-28,26,4,71.3
2020-04-29,20,5,71.8
2020-04-30,16,23,67.1
2020-05-01,12,26,59.3
2020-05-02,7,19,57.7
2020-05-03,12,47,59.3
2020-05-04,11,4,54.5
2020-05-05,5,24,43.5
2020-05-06,18,13,42.5
2020-05-07,8,38,38.3
2020-05-08,9,4,36.7
2020-05-09,8,1,37.2
2020-05-10,9,6,35.6
2020-05-11,8,3,34.1
2020-05-12,12,7,37.8
2020-05-13,14,2,35.6
2020-05-14,15,2,39.3
2020-05-15,14,2,41.9
2020-05-16,11,5,43.5
2020-05-17,8,4,43.0
2020-05-18,17,5,47.7
2020-05-19,25,6,54.5
2020-05-20,43,12,69.8
2020-05-21,28,6,76.6
2020-05-22,20,18,79.7
2020-05-23,3,6,75.5
2020-05-24,9,8,76.0
2020-05-25,7,7,70.8
2020-05-26,11,3,63.5
2020-05-27,13,6,47.7
2020-05-28,8,4,37.2
2020-05-29,6,4,29.9
2020-05-30,11,4,34.1
2020-05-31,9,4,34.1
2020-06-01,9,4,35.1
2020-06-02,17,3,38.3
2020-06-03,6,7,34.6
2020-06-04,11,3,36.2
2020-06-05,9,0,37.8
2020-06-06,7,4,35.7
2020-06-07,4,4,33.1
2020-06-08,9,7,33.1
2020-06-09,5,1,26.7
2020-06-10,7,0,27.3
2020-06-11,7,3,25.1
2020-06-12,8,2,24.6
2020-06-13,9,0,25.7
2020-06-14,5,5,26.2
2020-06-15,8,3,25.7
2020-06-16,7,3,26.7
2020-06-17,3,0,24.6
2020-06-18,1,3,21.5
2020-06-19,3,0,18.9
2020-06-20,3,0,15.7
2020-06-21,0,2,13.1
2020-06-22,3,4,10.5
2020-06-23,3,0,8.4
2020-06-24,2,0,7.9
2020-06-25,1,0,7.9
2020-06-26,3,2,7.9
2020-06-27,2,0,7.3
2020-06-28,0,0,7.3
2020-06-29,5,1,8.3
2020-06-30,0,0,6.8
2020-07-01,4,442,7.8
2020-07-02,4,1,9.4
2020-07-03,6,2,11.0
2020-07-04,2,5,11.0
2020-07-05,1,7,11.6
2020-07-06,2,0,10.0
2020-07-07,1,2,10.5
2020-07-08,2,1,9.5
2020-07-09,1,2,7.9
2020-07-10,0,1,4.7
2020-07-11,0,3,3.7
2020-07-12,1,0,3.6
2020-07-13,1,2,3.2
2020-07-14,7,0,6.3
2020-07-15,0,1,5.2
2020-07-16,8,4,8.9
2020-07-17,2,3,10.0
2020-07-18,0,2,10.0
2020-07-19,3,5,11.0
2020-07-20,4,1,12.5
2020-07-21,1,2,9.5
2020-07-22,3,4,11.0
2020-07-23,2,2,7.9
2020-07-24,4,2,8.9
2020-07-25,4,2,11.0
2020-07-26,10,8,14.7
2020-07-27,7,0,16.3
2020-07-28,0,7,15.7
2020-07-29,4,5,16.3
2020-07-30,4,7,17.3
2020-07-31,10,0,20.4
2020-08-01,4,1,20.4
2020-08-02,6,14,18.4
2020-08-03,19,3,24.6
2020-08-04,10,6,29.9
2020-08-05,5,11,30.4
2020-08-06,4,11,30.4
2020-08-07,3,10,26.8
2020-08-08,4,3,26.8
2020-08-09,3,7,25.1
2020-08-10,13,3,22.1
2020-08-11,15,6,24.6
2020-08-12,11,6,27.8
2020-08-13,7,0,29.4
2020-08-14,8,24,32.0
2020-08-15,6,12,33.0
2020-08-16,4,9,33.6
2020-08-17,13,2,33.5
2020-08-18,10,11,31.0
2020-08-19,14,9,32.5
2020-08-20,8,7,33.0
2020-08-21,15,10,36.7
2020-08-22,8,8,37.8
2020-08-23,2,15,36.7
2020-08-24,8,7,34.1
2020-08-25,4,8,30.9
2020-08-26,6,6,26.8
2020-08-27,14,8,29.9
2020-08-28,8,9,26.2
2020-08-29,8,8,26.2
2020-08-30,6,15,28.3
2020-08-31,7,7,27.8
2020-09-01,15,6,33.6
2020-09-02,25,5,43.5
2020-09-03,21,12,47.2
2020-09-04,27,17,57.1
2020-09-05,16,9,61.3
2020-09-06,19,31,68.2
2020-09-07,19,16,74.5
2020-09-08,32,19,83.3
2020-09-09,30,16,86.0
