date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-08,1,0,0.0
2020-03-09,2,0,0.7
2020-03-10,1,0,1.1
2020-03-11,3,0,2.1
2020-03-12,3,0,3.2
2020-03-13,3,0,4.2
2020-03-14,0,0,4.2
2020-03-15,1,0,4.6
2020-03-16,0,0,3.9
2020-03-17,1,0,3.8
2020-03-18,2,0,3.5
2020-03-19,1,0,2.8
2020-03-20,0,0,1.8
2020-03-21,3,0,2.8
2020-03-22,3,0,3.4
2020-03-23,8,0,6.2
2020-03-24,5,0,7.7
2020-03-25,12,0,11.1
2020-03-26,3,0,11.8
2020-03-27,6,0,13.9
2020-03-28,8,0,15.6
2020-03-29,9,0,17.8
2020-03-30,15,0,20.2
2020-03-31,12,0,22.5
2020-04-01,6,0,20.5
2020-04-02,10,0,22.9
2020-04-03,11,0,24.6
2020-04-04,9,0,25.0
2020-04-05,10,0,25.3
2020-04-06,10,0,23.6
2020-04-07,9,0,22.6
2020-04-08,28,0,30.3
2020-04-09,12,0,30.9
2020-04-10,6,0,29.2
2020-04-11,6,0,28.2
2020-04-12,4,0,26.1
2020-04-13,2,0,23.3
2020-04-14,8,0,23.0
2020-04-15,19,0,19.8
2020-04-16,6,0,17.7
2020-04-17,7,24,18.1
2020-04-18,9,9,19.1
2020-04-19,10,7,21.2
2020-04-20,17,11,26.4
2020-04-21,19,7,30.2
2020-04-22,23,7,31.6
2020-04-23,18,16,35.8
2020-04-24,24,7,41.7
2020-04-25,20,1,45.5
2020-04-26,8,9,44.8
2020-04-27,23,12,46.9
2020-04-28,15,3,45.5
2020-04-29,33,3,49.0
2020-04-30,17,2,48.7
2020-05-01,10,3,43.7
2020-05-02,8,5,39.6
2020-05-03,18,3,43.1
2020-05-04,7,4,37.5
2020-05-05,4,2,33.7
2020-05-06,9,3,25.3
2020-05-07,9,5,22.6
2020-05-08,11,5,23.0
2020-05-09,6,12,22.3
2020-05-10,7,1,18.4
2020-05-11,9,2,19.1
2020-05-12,13,2,22.2
