date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,2,0,0.9
2020-03-13,0,0,0.9
2020-03-14,0,0,0.9
2020-03-15,1,0,1.4
2020-03-16,0,0,1.4
2020-03-17,0,0,1.4
2020-03-18,0,0,1.4
2020-03-19,2,0,1.5
2020-03-20,1,0,1.9
2020-03-21,1,0,2.4
2020-03-22,2,0,2.9
2020-03-23,5,0,5.2
2020-03-24,3,0,6.7
2020-03-25,1,0,7.1
2020-03-26,3,0,7.6
2020-03-27,10,0,11.9
2020-03-28,8,0,15.2
2020-03-29,10,0,19.0
2020-03-30,19,0,25.8
2020-03-31,19,0,33.3
2020-04-01,17,0,41.0
2020-04-02,24,0,50.9
2020-04-03,16,0,53.8
2020-04-04,16,0,57.7
2020-04-05,23,0,63.8
2020-04-06,33,0,70.4
2020-04-07,31,0,76.2
2020-04-08,38,0,86.2
2020-04-09,22,0,85.3
2020-04-10,27,0,90.5
2020-04-11,17,0,90.9
2020-04-12,7,0,83.3
2020-04-13,18,0,76.2
2020-04-14,29,0,75.2
2020-04-15,21,0,67.1
2020-04-16,38,0,74.7
2020-04-17,12,21,67.6
2020-04-18,44,15,80.5
2020-04-19,22,29,87.7
2020-04-20,27,9,91.9
2020-04-21,32,14,93.3
2020-04-22,37,12,101.0
2020-04-23,36,25,100.0
2020-04-24,25,19,106.2
2020-04-25,18,17,93.8
2020-04-26,15,17,90.4
2020-04-27,22,8,88.1
2020-04-28,31,17,87.7
2020-04-29,22,3,80.4
2020-04-30,36,16,80.5
2020-05-01,27,9,81.4
2020-05-02,7,23,76.2
2020-05-03,12,9,74.8
2020-05-04,19,11,73.3
2020-05-05,12,3,64.2
2020-05-06,21,1,63.8
2020-05-07,12,8,52.4
2020-05-08,10,6,44.3
2020-05-09,13,13,47.1
2020-05-10,10,5,46.2
2020-05-11,17,1,45.3
2020-05-12,20,4,49.1
2020-05-13,15,1,46.2
2020-05-14,10,5,45.2
2020-05-15,10,10,45.3
2020-05-16,11,9,44.3
2020-05-17,10,6,44.3
2020-05-18,10,4,40.9
2020-05-19,14,10,38.1
2020-05-20,6,0,33.8
2020-05-21,15,6,36.2
2020-05-22,5,7,33.8
2020-05-23,6,3,31.4
2020-05-24,5,3,29.0
2020-05-25,9,7,28.6
2020-05-26,6,4,24.7
2020-05-27,8,1,25.7
2020-05-28,11,1,23.8
2020-05-29,5,0,23.8
2020-05-30,1,3,21.4
2020-05-31,8,5,22.9
2020-06-01,6,2,21.4
2020-06-02,11,0,23.8
2020-06-03,7,4,23.4
2020-06-04,7,0,21.4
2020-06-05,14,4,25.7
2020-06-06,1,1,25.8
2020-06-07,4,0,23.8
2020-06-08,4,3,22.9
2020-06-09,6,3,20.5
2020-06-10,5,2,19.5
2020-06-11,7,1,19.5
2020-06-12,3,1,14.3
2020-06-13,4,5,15.7
2020-06-14,5,1,16.2
2020-06-15,1,4,14.7
2020-06-16,8,1,15.7
2020-06-17,2,0,14.3
2020-06-18,1,0,11.5
2020-06-19,5,2,12.3
2020-06-20,2,1,11.4
2020-06-21,0,0,9.0
2020-06-22,5,1,11.0
2020-06-23,2,2,8.1
2020-06-24,2,0,8.1
2020-06-25,1,0,8.1
2020-06-26,2,2,6.7
2020-06-27,0,1,5.7
2020-06-28,2,1,6.7
2020-06-29,0,0,4.3
2020-06-30,2,3,4.3
2020-07-01,4,501,5.2
2020-07-02,1,0,5.2
2020-07-03,0,3,4.3
2020-07-04,1,4,4.8
2020-07-05,1,0,4.2
2020-07-06,2,0,5.2
2020-07-07,1,3,4.8
2020-07-08,1,0,3.4
2020-07-09,1,1,3.3
2020-07-10,1,0,3.8
2020-07-11,1,2,3.8
2020-07-12,0,5,3.4
2020-07-13,2,0,3.3
2020-07-14,1,4,3.3
2020-07-15,2,1,3.8
2020-07-16,1,1,3.8
2020-07-17,2,1,4.3
2020-07-18,1,1,4.3
2020-07-19,1,1,4.7
2020-07-20,1,2,4.3
2020-07-21,3,1,5.2
2020-07-22,1,1,4.7
2020-07-23,0,1,4.3
2020-07-24,0,1,3.3
2020-07-25,1,1,3.3
2020-07-26,2,2,3.9
2020-07-27,0,2,3.4
2020-07-28,0,2,2.0
2020-07-29,1,0,1.9
2020-07-30,1,0,2.4
2020-07-31,1,1,2.9
2020-08-01,1,0,2.9
2020-08-02,1,1,2.3
2020-08-03,5,1,4.7
2020-08-04,5,0,7.1
2020-08-05,2,0,7.6
2020-08-06,6,7,10.0
2020-08-07,9,2,13.8
2020-08-08,7,4,16.6
2020-08-09,3,7,17.7
2020-08-10,4,5,17.2
2020-08-11,2,10,15.7
2020-08-12,2,2,15.8
2020-08-13,2,0,13.8
2020-08-14,1,7,10.0
2020-08-15,0,0,6.7
2020-08-16,1,3,5.7
2020-08-17,2,3,4.7
2020-08-18,0,0,3.8
2020-08-19,1,2,3.3
2020-08-20,0,1,2.4
2020-08-21,2,0,2.8
2020-08-22,0,2,2.8
2020-08-23,0,3,2.3
2020-08-24,4,0,3.4
2020-08-25,4,1,5.3
2020-08-26,4,3,6.7
2020-08-27,6,4,9.5
2020-08-28,1,1,9.1
2020-08-29,3,5,10.5
2020-08-30,8,5,14.3
2020-08-31,12,3,18.0
2020-09-01,4,5,18.0
2020-09-02,15,9,23.3
2020-09-03,18,10,29.1
2020-09-04,21,9,38.6
2020-09-05,24,9,48.6
2020-09-06,31,23,59.6
2020-09-07,37,16,71.5
2020-09-08,41,18,89.1
2020-09-09,36,23,99.0
2020-09-10,32,25,105.7
2020-09-11,42,45,115.7
2020-09-12,21,44,114.3
2020-09-13,24,28,110.9
2020-09-14,27,28,106.2
2020-09-15,29,31,100.5
2020-09-16,42,38,103.4
2020-09-17,33,38,103.8
2020-09-18,35,42,100.4
2020-09-19,49,36,113.8
2020-09-20,58,19,130.0
2020-09-21,43,34,137.6
2020-09-22,60,52,152.3
2020-09-23,76,70,168.5
2020-09-24,64,59,183.3
2020-09-25,58,57,194.3
2020-09-26,40,73,190.0
2020-09-27,41,40,181.9
2020-09-28,71,34,195.2
2020-09-29,48,46,189.5
2020-09-30,62,51,182.9
2020-10-01,79,50,190.0
2020-10-02,80,36,200.5
2020-10-03,95,92,226.6
2020-10-04,89,157,249.5
2020-10-05,104,75,265.2
2020-10-06,120,111,299.5
2020-10-07,98,126,316.6
2020-10-08,100,136,326.6
2020-10-09,105,71,338.5
2020-10-10,68,96,325.7
2020-10-11,74,79,318.5
2020-10-12,127,109,329.5
2020-10-13,112,128,325.7
2020-10-14,96,88,324.8
2020-10-15,103,130,326.2
2020-10-16,80,65,314.3
2020-10-17,106,129,332.4
2020-10-18,75,90,332.9
2020-10-19,147,133,342.4
2020-10-20,124,157,348.1
2020-10-21,139,134,368.5
2020-10-22,157,89,394.3
2020-10-23,108,79,407.6
2020-10-24,102,128,405.6
2020-10-25,89,152,412.3
2020-10-26,166,107,421.4
2020-10-27,157,164,437.1
2020-10-28,159,189,446.6
2020-10-29,158,124,447.1
2020-10-30,153,190,468.5
2020-10-31,97,138,466.2
2020-11-01,96,132,469.5
2020-11-02,141,136,457.6
2020-11-03,133,73,446.2
2020-11-04,126,178,430.5
2020-11-05,124,102,414.2
2020-11-06,112,103,394.8
2020-11-07,76,138,384.7
2020-11-08,96,86,384.8
2020-11-09,125,66,377.1
2020-11-10,73,87,348.5
2020-11-11,93,143,332.8
2020-11-12,89,110,316.2
2020-11-13,77,114,299.5
2020-11-14,59,88,291.5
2020-11-15,50,76,269.5
2020-11-16,89,0,252.3
2020-11-17,70,67,251.0
2020-11-18,74,85,241.9
2020-11-19,62,45,229.0
2020-11-20,38,96,210.4
2020-11-21,38,44,200.4
2020-11-22,33,41,192.3
2020-11-23,58,44,177.6
2020-11-24,43,37,164.7
2020-11-25,40,55,148.6
2020-11-26,46,42,141.0
2020-11-27,29,37,136.7
2020-11-28,29,48,132.4
2020-11-29,36,28,133.8
2020-11-30,46,18,128.1
2020-12-01,40,57,126.7
2020-12-02,38,49,125.7
2020-12-03,37,30,121.4
2020-12-04,34,33,123.8
2020-12-05,25,45,121.9
2020-12-06,27,27,117.6
2020-12-07,61,34,124.8
2020-12-08,44,43,126.6
2020-12-09,47,45,130.9
2020-12-10,59,29,141.4
2020-12-11,47,57,147.6
2020-12-12,45,68,157.1
2020-12-13,52,34,169.1
2020-12-14,82,42,179.0
2020-12-15,71,72,191.9
2020-12-16,77,74,206.2
2020-12-17,120,61,235.2
2020-12-18,82,37,251.9
2020-12-19,46,74,252.4
2020-12-20,74,118,262.8
2020-12-21,107,91,274.8
2020-12-22,92,75,284.8
2020-12-23,120,71,305.2
2020-12-24,69,126,281.0
2020-12-25,24,61,253.3
2020-12-26,94,52,276.2
2020-12-27,148,104,311.4
2020-12-28,144,79,329.0
2020-12-29,255,173,406.6
2020-12-30,259,110,472.8
2020-12-31,176,133,523.7
2021-01-01,119,178,569.0
2021-01-02,310,183,671.8
2021-01-03,236,303,713.8
2021-01-04,299,272,787.6
2021-01-05,267,231,793.3
2021-01-06,205,190,767.6
2021-01-07,214,239,785.7
2021-01-08,179,237,814.2
2021-01-09,175,241,750.0
2021-01-10,166,311,716.6
2021-01-11,270,178,702.8
2021-01-12,217,193,679.0
2021-01-13,143,244,649.5
2021-01-14,124,215,606.6
2021-01-15,130,163,583.3
2021-01-16,136,137,564.7
2021-01-17,126,120,545.7
