date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,1,0,0.0
2020-03-12,0,0,0.0
2020-03-13,1,0,0.5
2020-03-14,0,0,0.5
2020-03-15,1,0,1.1
2020-03-16,0,0,1.1
2020-03-17,0,0,1.1
2020-03-18,2,0,2.2
2020-03-19,1,0,2.7
2020-03-20,4,0,4.4
2020-03-21,2,0,5.5
2020-03-22,2,0,6.0
2020-03-23,4,0,8.2
2020-03-24,11,0,14.3
2020-03-25,11,0,19.3
2020-03-26,12,0,25.4
2020-03-27,14,0,30.9
2020-03-28,10,0,35.4
2020-03-29,20,0,45.3
2020-03-30,22,0,55.3
2020-03-31,20,0,60.2
2020-04-01,28,0,69.6
2020-04-02,26,0,77.3
2020-04-03,30,0,86.2
2020-04-04,28,0,96.0
2020-04-05,21,0,96.6
2020-04-06,27,0,99.4
2020-04-07,31,0,105.5
2020-04-08,14,0,97.7
2020-04-09,21,0,95.0
2020-04-10,12,0,85.0
2020-04-11,10,0,75.1
2020-04-12,15,0,71.8
2020-04-13,9,0,61.8
2020-04-14,10,0,50.2
2020-04-15,28,0,58.0
2020-04-16,36,0,66.3
2020-04-17,23,20,72.4
2020-04-18,35,4,86.2
2020-04-19,18,26,87.8
2020-04-20,26,21,97.2
2020-04-21,41,14,114.3
2020-04-22,40,17,120.9
2020-04-23,55,1,131.4
2020-04-24,38,46,139.7
2020-04-25,24,20,133.6
2020-04-26,7,8,127.6
2020-04-27,22,12,125.3
2020-04-28,29,20,118.7
2020-04-29,17,0,106.0
2020-04-30,23,20,88.3
2020-05-01,25,11,81.1
2020-05-02,7,10,71.8
2020-05-03,11,5,74.0
2020-05-04,5,19,64.6
2020-05-05,6,0,52.0
2020-05-06,14,3,50.3
2020-05-07,9,5,42.6
2020-05-08,7,1,32.6
2020-05-09,7,9,32.6
2020-05-10,9,0,31.5
2020-05-11,13,0,35.9
2020-05-12,19,6,43.0
2020-05-13,7,6,39.2
2020-05-14,11,5,40.3
2020-05-15,7,3,40.3
2020-05-16,15,8,44.7
2020-05-17,8,1,44.1
2020-05-18,10,5,42.6
2020-05-19,8,0,36.5
2020-05-20,5,13,35.3
2020-05-21,3,3,30.9
2020-05-22,6,0,30.4
2020-05-23,7,0,26.0
2020-05-24,3,5,23.2
2020-05-25,5,3,20.4
2020-05-26,4,2,18.2
2020-05-27,1,0,16.0
2020-05-28,6,0,17.7
2020-05-29,6,0,17.7
2020-05-30,4,0,16.0
2020-05-31,3,0,16.0
2020-06-01,7,4,17.1
2020-06-02,4,0,17.1
2020-06-03,1,0,17.2
2020-06-04,1,1,14.3
2020-06-05,2,0,12.1
2020-06-06,1,0,10.5
2020-06-07,0,7,8.9
2020-06-08,2,0,6.1
2020-06-09,3,5,5.5
2020-06-10,4,0,7.1
2020-06-11,2,3,7.7
2020-06-12,1,1,7.2
2020-06-13,1,0,7.2
2020-06-14,2,3,8.3
2020-06-15,2,0,8.3
2020-06-16,2,1,7.8
2020-06-17,2,1,6.7
2020-06-18,1,1,6.1
2020-06-19,2,0,6.6
2020-06-20,2,3,7.1
2020-06-21,1,1,6.6
2020-06-22,1,2,6.0
2020-06-23,1,0,5.5
2020-06-24,2,0,5.5
2020-06-25,1,3,5.5
2020-06-26,5,0,7.2
2020-06-27,0,1,6.1
2020-06-28,2,1,6.6
2020-06-29,2,0,7.2
2020-06-30,1,2,7.2
2020-07-01,0,422,6.1
2020-07-02,1,2,6.1
2020-07-03,0,0,3.3
2020-07-04,1,0,3.9
2020-07-05,1,0,3.3
2020-07-06,1,2,2.8
2020-07-07,0,1,2.2
2020-07-08,1,4,2.7
2020-07-09,1,0,2.8
2020-07-10,0,0,2.8
2020-07-11,0,1,2.2
