date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-28,1,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,1,0,0.3
2020-03-06,0,0,0.3
2020-03-07,1,0,0.6
2020-03-08,0,0,0.6
2020-03-09,1,0,0.9
2020-03-10,3,0,1.8
2020-03-11,0,0,1.8
2020-03-12,3,0,2.4
2020-03-13,4,0,3.6
2020-03-14,2,0,3.8
2020-03-15,2,0,4.4
2020-03-16,1,0,4.4
2020-03-17,5,0,5.0
2020-03-18,2,0,5.6
2020-03-19,4,0,5.9
2020-03-20,7,0,6.8
2020-03-21,5,0,7.8
2020-03-22,9,0,9.8
2020-03-23,5,0,11.0
2020-03-24,6,0,11.3
2020-03-25,8,0,13.1
2020-03-26,16,0,16.6
2020-03-27,9,0,17.2
2020-03-28,4,0,16.9
2020-03-29,7,0,16.3
2020-03-30,11,0,18.1
2020-03-31,16,0,21.1
2020-04-01,16,0,23.4
2020-04-02,20,0,24.6
2020-04-03,16,0,26.7
2020-04-04,14,0,29.6
2020-04-05,11,0,30.9
2020-04-06,19,0,33.2
2020-04-07,23,0,35.3
2020-04-08,16,0,35.3
2020-04-09,11,0,32.7
2020-04-10,13,0,31.7
2020-04-11,12,0,31.2
2020-04-12,18,0,33.2
2020-04-13,16,0,32.4
2020-04-14,12,0,29.0
2020-04-15,16,0,29.1
2020-04-16,24,0,32.9
2020-04-17,30,13,38.0
2020-04-18,9,0,37.1
2020-04-19,23,33,38.6
2020-04-20,19,1,39.4
2020-04-21,31,5,45.1
2020-04-22,45,25,53.7
2020-04-23,27,32,54.6
2020-04-24,36,3,56.4
2020-04-25,8,17,56.0
2020-04-26,10,17,52.2
2020-04-27,28,3,54.9
2020-04-28,17,0,50.7
2020-04-29,12,0,40.9
2020-04-30,20,30,38.8
2020-05-01,27,0,36.1
2020-05-02,12,9,37.4
2020-05-03,10,10,37.4
2020-05-04,18,4,34.4
2020-05-05,15,2,33.9
2020-05-06,9,8,32.9
2020-05-07,6,11,28.8
2020-05-08,7,1,22.9
2020-05-09,5,4,20.8
2020-05-10,2,3,18.4
2020-05-11,10,0,16.0
2020-05-12,12,2,15.1
2020-05-13,14,2,16.6
2020-05-14,6,6,16.6
2020-05-15,5,6,16.0
2020-05-16,4,2,15.7
2020-05-17,4,1,16.3
2020-05-18,8,1,15.8
2020-05-19,12,3,15.7
2020-05-20,13,1,15.5
2020-05-21,9,3,16.3
2020-05-22,8,0,17.2
2020-05-23,5,4,17.5
2020-05-24,9,1,19.0
2020-05-25,12,0,20.1
2020-05-26,6,1,18.4
2020-05-27,3,1,15.4
2020-05-28,10,2,15.8
2020-05-29,12,1,16.9
2020-05-30,9,5,18.1
2020-05-31,5,2,16.9
2020-06-01,9,0,16.0
2020-06-02,19,2,19.9
2020-06-03,1,0,19.3
2020-06-04,10,0,19.2
2020-06-05,10,0,18.7
2020-06-06,5,2,17.5
2020-06-07,6,0,17.8
2020-06-08,5,1,16.7
2020-06-09,7,2,13.0
2020-06-10,12,0,16.3
2020-06-11,8,2,15.8
2020-06-12,7,0,14.8
2020-06-13,1,1,13.6
2020-06-14,2,2,12.4
2020-06-15,9,1,13.6
2020-06-16,6,1,13.4
2020-06-17,6,1,11.6
2020-06-18,4,0,10.4
2020-06-19,8,0,10.7
2020-06-20,1,1,10.7
2020-06-21,1,0,10.4
2020-06-22,5,0,9.2
2020-06-23,4,0,8.6
2020-06-24,3,0,7.7
2020-06-25,8,0,8.9
2020-06-26,4,0,7.7
2020-06-27,2,1,8.0
2020-06-28,2,2,8.3
2020-06-29,2,0,7.4
2020-06-30,2,1,6.8
2020-07-01,2,530,6.5
2020-07-02,2,1,4.7
2020-07-03,2,0,4.2
2020-07-04,6,3,5.4
2020-07-05,2,6,5.4
2020-07-06,0,2,4.8
2020-07-07,4,1,5.3
2020-07-08,1,1,5.0
2020-07-09,0,3,4.4
2020-07-10,0,1,3.8
2020-07-11,2,1,2.6
2020-07-12,0,1,2.0
2020-07-13,2,0,2.6
2020-07-14,3,1,2.4
2020-07-15,3,2,3.0
2020-07-16,1,1,3.3
2020-07-17,2,4,3.9
2020-07-18,2,2,3.9
2020-07-19,4,3,5.1
2020-07-20,1,3,4.8
2020-07-21,2,1,4.5
2020-07-22,2,1,4.2
2020-07-23,0,2,3.9
2020-07-24,2,1,3.9
2020-07-25,3,0,4.1
2020-07-26,1,0,3.2
2020-07-27,5,4,4.4
2020-07-28,11,1,7.1
2020-07-29,1,4,6.8
2020-07-30,3,8,7.7
2020-07-31,4,4,8.3
2020-08-01,0,2,7.5
2020-08-02,5,6,8.6
2020-08-03,5,1,8.6
2020-08-04,2,2,5.9
2020-08-05,5,4,7.1
2020-08-06,2,3,6.8
2020-08-07,1,6,5.9
2020-08-08,1,0,6.2
2020-08-09,3,2,5.7
2020-08-10,3,2,5.1
2020-08-11,5,1,6.0
2020-08-12,6,7,6.2
2020-08-13,4,0,6.8
2020-08-14,4,11,7.7
2020-08-15,5,5,8.9
2020-08-16,3,2,8.9
2020-08-17,6,2,9.8
2020-08-18,2,10,8.9
2020-08-19,3,0,8.0
2020-08-20,9,4,9.5
2020-08-21,14,4,12.5
2020-08-22,6,6,12.8
2020-08-23,1,14,12.1
2020-08-24,4,5,11.5
2020-08-25,2,6,11.5
2020-08-26,9,3,13.4
2020-08-27,7,4,12.8
2020-08-28,6,4,10.4
2020-08-29,2,3,9.1
2020-08-30,5,10,10.4
2020-08-31,9,4,11.9
2020-09-01,6,4,13.1
2020-09-02,27,8,18.4
2020-09-03,22,6,22.8
2020-09-04,11,7,24.3
2020-09-05,10,16,26.7
2020-09-06,20,17,31.2
2020-09-07,19,18,34.1
2020-09-08,11,12,35.6
2020-09-09,16,20,32.3
