date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,1,0,0.3
2020-03-11,3,0,1.1
2020-03-12,2,0,1.7
2020-03-13,3,0,2.5
2020-03-14,4,0,3.7
2020-03-15,7,0,5.6
2020-03-16,9,0,8.2
2020-03-17,5,0,9.3
2020-03-18,11,0,11.6
2020-03-19,6,0,12.7
2020-03-20,14,0,15.9
2020-03-21,6,0,16.4
2020-03-22,14,0,18.5
2020-03-23,24,0,22.6
2020-03-24,11,0,24.4
2020-03-25,33,0,30.6
2020-03-26,38,0,39.7
2020-03-27,38,0,46.4
2020-03-28,35,0,54.6
2020-03-29,22,0,56.9
2020-03-30,38,0,60.9
2020-03-31,44,0,70.2
2020-04-01,40,0,72.2
2020-04-02,34,0,71.0
2020-04-03,60,0,77.3
2020-04-04,46,0,80.5
2020-04-05,26,0,81.5
2020-04-06,44,0,83.3
2020-04-07,44,0,83.2
2020-04-08,38,0,82.7
2020-04-09,40,0,84.4
2020-04-10,24,0,74.2
2020-04-11,29,0,69.3
2020-04-12,15,0,66.3
2020-04-13,20,0,59.5
2020-04-14,17,0,51.9
2020-04-15,18,0,46.2
2020-04-16,16,0,39.4
2020-04-17,16,25,37.1
2020-04-18,9,8,31.5
2020-04-19,8,17,29.4
2020-04-20,9,3,26.3
2020-04-21,12,16,24.9
2020-04-22,16,7,24.3
2020-04-23,17,13,24.6
2020-04-24,11,14,23.2
2020-04-25,14,10,24.6
2020-04-26,7,4,24.4
2020-04-27,16,9,26.3
2020-04-28,8,1,25.2
2020-04-29,12,2,24.1
2020-04-30,12,5,22.7
2020-05-01,4,5,20.7
2020-05-02,9,4,19.3
2020-05-03,5,3,18.7
2020-05-04,8,0,16.5
2020-05-05,8,5,16.4
2020-05-06,16,6,17.5
2020-05-07,6,4,15.8
2020-05-08,4,8,15.9
2020-05-09,7,4,15.3
2020-05-10,9,1,16.4
2020-05-11,5,2,15.5
2020-05-12,4,0,14.5
2020-05-13,1,1,10.2
2020-05-14,5,2,10.0
2020-05-15,3,0,9.6
2020-05-16,2,5,8.2
2020-05-17,7,4,7.7
2020-05-18,4,2,7.4
2020-05-19,0,1,6.2
2020-05-20,0,0,6.0
2020-05-21,8,2,6.8
2020-05-22,2,0,6.5
2020-05-23,7,0,7.9
2020-05-24,1,1,6.2
2020-05-25,2,1,5.7
2020-05-26,1,0,5.9
2020-05-27,3,1,6.8
2020-05-28,5,1,5.9
2020-05-29,1,1,5.7
2020-05-30,5,0,5.1
2020-05-31,0,2,4.8
2020-06-01,2,2,4.8
2020-06-02,0,0,4.6
2020-06-03,3,0,4.5
2020-06-04,9,1,5.7
2020-06-05,3,0,6.2
2020-06-06,2,1,5.4
2020-06-07,2,0,5.9
2020-06-08,2,0,5.9
2020-06-09,3,2,6.8
2020-06-10,1,0,6.2
2020-06-11,1,1,3.9
2020-06-12,2,0,3.7
2020-06-13,5,1,4.5
2020-06-14,1,1,4.3
2020-06-15,3,1,4.5
2020-06-16,2,0,4.2
2020-06-17,1,1,4.3
2020-06-18,2,1,4.6
2020-06-19,2,0,4.5
2020-06-20,0,1,3.1
2020-06-21,2,0,3.4
2020-06-22,1,1,2.9
2020-06-23,0,0,2.3
2020-06-24,0,1,2.0
2020-06-25,2,0,1.9
2020-06-26,5,2,2.9
2020-06-27,2,1,3.4
2020-06-28,1,0,3.1
2020-06-29,1,1,3.1
2020-06-30,6,0,4.8
2020-07-01,5,235,6.2
2020-07-02,1,4,6.0
2020-07-03,0,2,4.5
2020-07-04,2,3,4.6
2020-07-05,1,1,4.5
2020-07-06,1,0,4.5
2020-07-07,1,6,3.1
2020-07-08,3,0,2.6
2020-07-09,3,0,3.1
2020-07-10,2,1,3.7
2020-07-11,2,4,3.6
2020-07-12,3,0,4.3
2020-07-13,7,1,6.0
2020-07-14,3,2,6.5
2020-07-15,5,4,7.0
2020-07-16,2,5,6.8
2020-07-17,3,4,7.0
2020-07-18,3,8,7.4
2020-07-19,1,2,6.8
2020-07-20,1,2,5.1
2020-07-21,1,1,4.5
2020-07-22,2,0,3.7
2020-07-23,4,3,4.2
2020-07-24,1,1,3.7
2020-07-25,6,1,4.5
2020-07-26,3,4,5.1
2020-07-27,6,3,6.5
2020-07-28,2,1,6.8
2020-07-29,5,3,7.7
2020-07-30,0,8,6.6
2020-07-31,1,7,6.5
2020-08-01,3,1,5.7
2020-08-02,1,1,5.1
2020-08-03,1,5,3.7
2020-08-04,8,1,5.4
2020-08-05,2,0,4.5
2020-08-06,11,5,7.6
2020-08-07,2,4,8.0
2020-08-08,4,9,8.2
2020-08-09,2,3,8.5
2020-08-10,5,5,9.6
2020-08-11,3,4,8.2
2020-08-12,6,3,9.3
2020-08-13,10,0,9.1
2020-08-14,4,11,9.6
2020-08-15,6,5,10.2
2020-08-16,8,10,11.9
2020-08-17,6,4,12.2
2020-08-18,4,8,12.5
2020-08-19,4,5,11.9
2020-08-20,2,3,9.6
2020-08-21,2,2,9.1
2020-08-22,7,3,9.3
2020-08-23,4,5,8.2
2020-08-24,6,5,8.2
2020-08-25,6,4,8.8
2020-08-26,5,6,9.1
2020-08-27,15,10,12.7
2020-08-28,8,6,14.4
2020-08-29,3,8,13.4
2020-08-30,4,5,13.3
2020-08-31,11,3,14.7
2020-09-01,7,6,15.0
2020-09-02,10,9,16.4
2020-09-03,29,9,20.4
2020-09-04,19,16,23.5
2020-09-05,18,20,27.7
2020-09-06,9,15,29.2
2020-09-07,17,18,30.9
2020-09-08,23,19,35.4
2020-09-09,14,15,36.5
2020-09-10,18,16,33.4
2020-09-11,14,21,32.0
2020-09-12,18,19,32.0
2020-09-13,0,15,29.4
2020-09-14,16,7,29.1
2020-09-15,13,12,26.3
2020-09-16,15,3,26.7
2020-09-17,22,20,27.8
2020-09-18,12,22,27.2
2020-09-19,26,17,29.5
2020-09-20,23,12,36.0
2020-09-21,28,18,39.4
2020-09-22,20,13,41.4
2020-09-23,34,39,46.7
2020-09-24,35,27,50.4
2020-09-25,49,21,60.9
2020-09-26,37,18,64.0
2020-09-27,34,49,67.1
2020-09-28,37,36,69.7
2020-09-29,34,15,73.6
2020-09-30,20,24,69.7
2020-10-01,44,34,72.2
2020-10-02,46,13,71.3
