date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,1,0,0.2
2020-03-10,1,0,0.5
2020-03-11,1,0,0.7
2020-03-12,0,0,0.7
2020-03-13,0,0,0.7
2020-03-14,0,0,0.7
2020-03-15,1,0,0.9
2020-03-16,2,0,1.2
2020-03-17,1,0,1.1
2020-03-18,5,0,2.0
2020-03-19,2,0,2.5
2020-03-20,4,0,3.4
2020-03-21,3,0,4.1
2020-03-22,3,0,4.6
2020-03-23,4,0,5.0
2020-03-24,6,0,6.1
2020-03-25,10,0,7.3
2020-03-26,11,0,9.3
2020-03-27,10,0,10.7
2020-03-28,9,0,12.0
2020-03-29,15,0,14.7
2020-03-30,19,0,18.2
2020-03-31,19,0,21.2
2020-04-01,24,0,24.3
2020-04-02,22,0,26.8
2020-04-03,21,0,29.3
2020-04-04,14,0,30.5
2020-04-05,12,0,29.8
2020-04-06,29,0,32.0
2020-04-07,26,0,33.6
2020-04-08,21,0,33.0
2020-04-09,17,0,31.9
2020-04-10,14,0,30.3
2020-04-11,17,0,30.9
2020-04-12,7,0,29.8
2020-04-13,22,0,28.2
2020-04-14,25,0,28.0
2020-04-15,24,0,28.7
2020-04-16,26,0,30.7
2020-04-17,18,14,31.6
2020-04-18,25,15,33.4
2020-04-19,37,11,40.3
2020-04-20,12,12,38.0
2020-04-21,18,11,36.4
2020-04-22,28,12,37.2
2020-04-23,26,10,37.3
2020-04-24,36,7,41.3
2020-04-25,21,11,40.5
2020-04-26,10,11,34.3
2020-04-27,25,26,37.3
2020-04-28,17,11,37.0
2020-04-29,32,1,38.0
2020-04-30,29,18,38.6
2020-05-01,57,11,43.5
2020-05-02,20,10,43.2
2020-05-03,16,6,44.6
2020-05-04,14,17,42.0
2020-05-05,31,26,45.3
2020-05-06,17,8,41.9
2020-05-07,21,6,40.0
2020-05-08,28,9,33.4
2020-05-09,17,6,32.8
2020-05-10,27,2,35.2
2020-05-11,21,8,36.9
2020-05-12,30,3,36.6
2020-05-13,25,5,38.4
2020-05-14,23,7,38.9
2020-05-15,24,2,38.0
2020-05-16,26,3,40.0
2020-05-17,13,5,36.8
2020-05-18,21,7,36.8
2020-05-19,33,5,37.5
2020-05-20,20,3,36.4
2020-05-21,26,2,37.1
2020-05-22,30,7,38.4
2020-05-23,17,15,36.4
2020-05-24,15,10,36.9
2020-05-25,5,0,33.2
2020-05-26,19,5,30.0
2020-05-27,20,6,30.0
2020-05-28,21,2,28.9
2020-05-29,10,1,24.3
2020-05-30,9,3,22.5
2020-05-31,5,3,20.2
2020-06-01,9,3,21.2
2020-06-02,10,2,19.1
2020-06-03,8,2,16.4
2020-06-04,16,1,15.2
2020-06-05,11,1,15.5
2020-06-06,3,2,14.1
2020-06-07,7,3,14.6
2020-06-08,12,4,15.2
2020-06-09,10,1,15.3
2020-06-10,12,4,16.1
2020-06-11,42,0,22.0
2020-06-12,27,2,25.7
2020-06-13,21,2,29.8
2020-06-14,14,3,31.3
2020-06-15,13,3,31.6
2020-06-16,33,1,36.8
2020-06-17,21,1,38.9
2020-06-18,14,2,32.6
2020-06-19,18,3,30.5
2020-06-20,22,1,30.7
2020-06-21,12,1,30.3
2020-06-22,13,1,30.2
