date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,1,0,0.6
2020-03-06,0,0,0.6
2020-03-07,0,0,0.6
2020-03-08,0,0,0.6
2020-03-09,0,0,0.6
2020-03-10,0,0,0.6
2020-03-11,0,0,0.6
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,1,0,0.6
2020-03-18,5,0,3.7
2020-03-19,3,0,5.6
2020-03-20,0,0,5.6
2020-03-21,2,0,6.8
2020-03-22,1,0,7.4
2020-03-23,3,0,9.3
2020-03-24,6,0,12.4
2020-03-25,8,0,14.3
2020-03-26,7,0,16.7
2020-03-27,9,0,22.2
2020-03-28,5,0,24.1
2020-03-29,9,0,29.1
2020-03-30,5,0,30.3
2020-03-31,8,0,31.5
2020-04-01,6,0,30.2
2020-04-02,8,0,30.9
2020-04-03,8,0,30.3
2020-04-04,5,0,30.3
2020-04-05,5,0,27.8
2020-04-06,7,0,29.1
2020-04-07,7,0,28.5
2020-04-08,4,0,27.3
2020-04-09,3,0,24.1
2020-04-10,5,0,22.3
2020-04-11,2,0,20.4
2020-04-12,8,0,22.3
2020-04-13,4,0,20.4
2020-04-14,3,0,17.9
2020-04-15,4,0,17.9
2020-04-16,4,0,18.6
2020-04-17,11,0,22.3
2020-04-18,4,0,23.5
2020-04-19,1,0,19.2
2020-04-20,5,0,19.7
2020-04-21,5,0,21.0
2020-04-22,5,0,21.6
2020-04-23,6,0,22.8
2020-04-24,3,0,17.9
2020-04-25,0,0,15.5
2020-04-26,1,0,15.4
2020-04-27,1,0,13.0
2020-04-28,2,0,11.2
2020-04-29,8,0,13.0
2020-04-30,9,0,14.9
2020-05-01,14,0,21.6
2020-05-02,11,0,28.4
2020-05-03,6,0,31.5
2020-05-04,4,0,33.4
2020-05-05,3,0,34.0
2020-05-06,1,0,29.7
2020-05-07,11,0,30.9
2020-05-08,9,0,27.9
2020-05-09,5,0,24.2
2020-05-10,3,0,22.3
2020-05-11,7,0,24.1
2020-05-12,7,0,26.6
2020-05-13,9,0,31.5
2020-05-14,5,0,27.8
2020-05-15,9,0,27.8
2020-05-16,5,0,27.8
2020-05-17,3,0,27.8
2020-05-18,2,0,24.8
2020-05-19,10,0,26.6
2020-05-20,1,0,21.7
2020-05-21,3,0,20.4
2020-05-22,2,0,16.1
2020-05-23,1,0,13.6
2020-05-24,4,0,14.3
2020-05-25,3,0,14.8
2020-05-26,1,0,9.2
2020-05-27,3,0,10.5
2020-05-28,2,0,9.9
2020-05-29,8,0,13.6
2020-05-30,0,0,13.0
2020-05-31,6,0,14.2
2020-06-01,6,0,16.1
2020-06-02,5,0,18.6
2020-06-03,1,0,17.3
2020-06-04,1,0,16.7
2020-06-05,10,0,17.9
2020-06-06,1,0,18.5
2020-06-07,3,0,16.7
2020-06-08,6,0,16.7
2020-06-09,1,0,14.2
2020-06-10,8,0,18.5
2020-06-11,2,0,19.2
2020-06-12,2,0,14.2
2020-06-13,0,0,13.6
2020-06-14,0,0,11.7
2020-06-15,8,0,13.0
2020-06-16,4,0,14.8
2020-06-17,2,0,11.2
2020-06-18,0,0,9.9
2020-06-19,1,0,9.3
2020-06-20,1,0,9.9
2020-06-21,2,0,11.1
2020-06-22,0,0,6.1
2020-06-23,1,0,4.4
2020-06-24,0,0,3.1
2020-06-25,0,0,3.1
2020-06-26,0,0,2.5
2020-06-27,1,0,2.5
2020-06-28,1,0,1.9
2020-06-29,1,0,2.5
2020-06-30,0,0,1.8
2020-07-01,0,0,1.8
2020-07-02,0,0,1.8
2020-07-03,0,0,1.8
2020-07-04,0,0,1.2
2020-07-05,0,0,0.6
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,0,0,0.0
2020-07-10,0,0,0.0
2020-07-11,0,0,0.0
2020-07-12,2,0,1.3
2020-07-13,0,0,1.3
2020-07-14,1,0,1.9
2020-07-15,0,0,1.9
2020-07-16,0,0,1.9
2020-07-17,1,0,2.5
2020-07-18,0,0,2.5
2020-07-19,0,0,1.2
2020-07-20,0,0,1.2
2020-07-21,2,0,1.8
2020-07-22,0,0,1.8
2020-07-23,0,0,1.8
2020-07-24,1,0,1.9
2020-07-25,0,0,1.9
2020-07-26,0,0,1.9
2020-07-27,0,0,1.9
2020-07-28,0,0,0.7
2020-07-29,0,0,0.7
2020-07-30,0,0,0.7
2020-07-31,0,0,0.0
2020-08-01,0,0,0.0
2020-08-02,0,0,0.0
2020-08-03,0,0,0.0
2020-08-04,0,0,0.0
2020-08-05,0,0,0.0
2020-08-06,2,0,1.2
2020-08-07,0,0,1.2
2020-08-08,0,0,1.2
2020-08-09,1,0,1.8
2020-08-10,0,0,1.8
2020-08-11,0,0,1.8
2020-08-12,2,0,3.0
2020-08-13,1,0,2.5
2020-08-14,1,0,3.1
2020-08-15,0,0,3.1
2020-08-16,0,0,2.5
2020-08-17,1,0,3.1
2020-08-18,3,0,5.0
2020-08-19,0,3,3.8
2020-08-20,4,0,5.5
2020-08-21,1,0,5.5
2020-08-22,2,0,6.8
2020-08-23,7,0,11.1
2020-08-24,1,7,11.1
2020-08-25,4,3,11.7
2020-08-26,1,7,12.3
2020-08-27,4,2,12.4
2020-08-28,2,2,13.0
2020-08-29,0,0,11.7
2020-08-30,0,0,7.4
2020-08-31,0,0,6.8
2020-09-01,1,6,4.9
2020-09-02,6,2,8.1
2020-09-03,2,2,6.8
2020-09-04,11,3,12.4
2020-09-05,5,0,15.5
2020-09-06,6,0,19.2
2020-09-07,3,21,21.1
2020-09-08,3,2,22.3
2020-09-09,3,1,20.4
2020-09-10,4,1,21.6
2020-09-11,2,4,16.1
2020-09-12,11,0,19.8
2020-09-13,9,0,21.6
2020-09-14,10,20,25.9
2020-09-15,10,9,30.3
2020-09-16,9,6,34.0
2020-09-17,17,13,42.1
2020-09-18,11,17,47.6
2020-09-19,8,0,45.7
2020-09-20,5,0,43.3
2020-09-21,10,23,43.3
2020-09-22,3,13,39.0
2020-09-23,8,7,38.3
2020-09-24,6,7,31.5
2020-09-25,8,8,29.7
2020-09-26,12,0,32.2
2020-09-27,14,0,37.7
2020-09-28,8,30,36.5
2020-09-29,10,13,40.8
2020-09-30,18,7,47.0
2020-10-01,19,12,55.0
2020-10-02,15,30,59.3
2020-10-03,11,0,58.7
2020-10-04,27,0,66.8
2020-10-05,23,43,76.0
2020-10-06,38,27,93.3
2020-10-07,35,33,103.9
2020-10-08,30,37,110.7
2020-10-09,27,34,118.1
2020-10-10,27,0,128
2020-10-11,26,0,127.4
2020-10-12,51,89,144.7
2020-10-13,42,33,147.2
2020-10-14,39,53,149.6
2020-10-15,45,22,158.9
2020-10-16,45,55,170.1
2020-10-17,31,0,172.5
2020-10-18,30,0,175.0
2020-10-19,47,117,172.5
2020-10-20,44,43,173.8
2020-10-21,37,50,172.5
2020-10-22,42,34,170.7
2020-10-23,36,46,165.1
2020-10-24,46,0,174.4
2020-10-25,33,0,176.2
2020-10-26,33,115,167.6
2020-10-27,31,39,159.5
2020-10-28,28,24,154.0
2020-10-29,25,32,143.5
2020-10-30,32,31,140.9
2020-10-31,39,0,136.7
2020-11-01,21,0,129.2
2020-11-02,51,91,140.4
2020-11-03,32,32,141.0
2020-11-04,24,49,138.5
2020-11-05,39,22,147.1
2020-11-06,24,36,142.3
2020-11-07,30,0,136.6
2020-11-08,36,0,146.0
2020-11-09,40,95,139.1
2020-11-10,32,35,139.1
2020-11-11,42,44,150.3
2020-11-12,43,35,152.7
2020-11-13,29,41,155.8
2020-11-14,26,0,153.4
2020-11-15,22,0,144.7
2020-11-16,30,82,138.5
2020-11-17,20,32,131.1
2020-11-18,24,14,119.9
2020-11-19,17,27,103.9
2020-11-20,11,19,92.7
2020-11-21,15,0,85.9
2020-11-22,15,0,81.6
2020-11-23,26,38,79.2
2020-11-24,23,11,81.0
2020-11-25,26,36,82.3
2020-11-26,33,29,92.2
2020-11-27,14,38,94.0
2020-11-28,7,0,89.0
2020-11-29,9,0,85.3
2020-11-30,20,34,81.6
2020-12-01,14,17,76.0
2020-12-02,35,12,81.6
2020-12-03,31,31,80.3
2020-12-04,15,22,81.0
2020-12-05,20,0,89.1
2020-12-06,33,0,103.9
2020-12-07,36,73,113.7
2020-12-08,9,19,110.7
2020-12-09,14,24,97.7
2020-12-10,14,9,87.2
2020-12-11,11,13,84.7
2020-12-12,11,0,79.1
2020-12-13,7,0,63.1
