date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-01,2,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,2,0,0.1
2020-03-06,0,0,0.1
2020-03-07,0,0,0.1
2020-03-08,0,0,0.1
2020-03-09,1,0,0.2
2020-03-10,0,0,0.2
2020-03-11,2,0,0.4
2020-03-12,5,0,0.7
2020-03-13,2,0,0.8
2020-03-14,0,0,0.8
2020-03-15,2,0,1.0
2020-03-16,7,0,1.5
2020-03-17,4,0,1.8
2020-03-18,10,0,2.4
2020-03-19,13,0,3.1
2020-03-20,8,0,3.6
2020-03-21,9,0,4.4
2020-03-22,16,0,5.5
2020-03-23,34,0,7.6
2020-03-24,42,0,10.8
2020-03-25,38,0,13.1
2020-03-26,63,0,17.1
2020-03-27,44,0,20.1
2020-03-28,42,0,22.7
2020-03-29,36,0,24.3
2020-03-30,97,0,29.5
2020-03-31,87,0,33.1
2020-04-01,93,0,37.6
2020-04-02,93,0,40.1
2020-04-03,112,0,45.6
2020-04-04,89,0,49.5
2020-04-05,94,0,54.2
2020-04-06,113,0,55.5
2020-04-07,106,0,57.1
2020-04-08,102,0,57.8
2020-04-09,105,0,58.7
2020-04-10,73,0,55.6
2020-04-11,93,0,55.9
2020-04-12,62,0,53.3
2020-04-13,83,0,50.9
2020-04-14,91,0,49.6
2020-04-15,89,0,48.6
2020-04-16,102,0,48.4
2020-04-17,84,73,49.2
2020-04-18,117,76,51.1
2020-04-19,86,100,53.2
2020-04-20,94,78,54.0
2020-04-21,101,74,54.8
2020-04-22,157,59,60.3
2020-04-23,129,76,62.6
2020-04-24,131,76,66.4
2020-04-25,80,80,63.5
2020-04-26,67,56,61.8
2020-04-27,88,68,61.4
2020-04-28,113,49,62.4
2020-04-29,88,61,56.8
2020-04-30,143,41,57.8
2020-05-01,108,37,56.0
2020-05-02,71,51,55.2
2020-05-03,95,54,57.5
2020-05-04,74,42,56.4
2020-05-05,82,42,53.9
2020-05-06,65,48,52.0
2020-05-07,72,45,46.2
2020-05-08,93,38,45.0
2020-05-09,76,26,45.4
2020-05-10,58,22,42.4
2020-05-11,104,26,44.8
2020-05-12,130,24,48.7
2020-05-13,65,48,48.7
2020-05-14,72,22,48.8
2020-05-15,69,38,46.8
2020-05-16,90,23,47.9
2020-05-17,54,18,47.6
2020-05-18,55,11,43.6
2020-05-19,108,27,41.8
2020-05-20,95,28,44.2
2020-05-21,92,14,45.8
2020-05-22,59,29,45.0
2020-05-23,49,36,41.7
2020-05-24,50,21,41.4
2020-05-25,68,15,42.5
2020-05-26,69,21,39.3
2020-05-27,60,10,36.5
2020-05-28,48,16,32.9
2020-05-29,61,17,33.1
2020-05-30,32,24,31.7
2020-05-31,39,7,30.7
2020-06-01,53,14,29.5
2020-06-02,50,15,27.9
2020-06-03,36,8,26.0
2020-06-04,40,16,25.3
2020-06-05,30,16,22.8
2020-06-06,37,15,23.2
2020-06-07,31,14,22.6
2020-06-08,37,2,21.2
2020-06-09,34,23,20.0
2020-06-10,43,6,20.5
2020-06-11,26,7,19.4
2020-06-12,22,8,18.7
2020-06-13,18,15,17.2
2020-06-14,23,9,16.6
2020-06-15,24,8,15.5
2020-06-16,31,6,15.2
2020-06-17,23,5,13.6
2020-06-18,38,5,14.6
2020-06-19,32,7,15.4
2020-06-20,23,6,15.8
2020-06-21,14,6,15.0
2020-06-22,26,4,15.3
2020-06-23,13,4,13.8
