date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,1,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,2,0,0.7
2020-03-14,0,0,0.7
2020-03-15,3,0,1.9
2020-03-16,1,0,2.3
2020-03-17,0,0,2.3
2020-03-18,3,0,3.4
2020-03-19,2,0,4.2
2020-03-20,2,0,4.2
2020-03-21,2,0,5.0
2020-03-22,0,0,3.8
2020-03-23,3,0,4.5
2020-03-24,7,0,7.2
2020-03-25,3,0,7.2
2020-03-26,9,0,9.9
2020-03-27,3,0,10.3
2020-03-28,3,0,10.6
2020-03-29,5,0,12.5
2020-03-30,7,0,14.1
2020-03-31,2,0,12.2
2020-04-01,7,0,13.7
2020-04-02,12,0,14.8
2020-04-03,15,0,19.4
2020-04-04,10,0,22.1
2020-04-05,1,0,20.6
2020-04-06,5,0,19.8
2020-04-07,8,0,22.0
2020-04-08,4,0,21.0
2020-04-09,9,0,19.8
2020-04-10,13,0,19.0
2020-04-11,1,0,15.6
2020-04-12,7,0,17.9
2020-04-13,12,0,20.5
2020-04-14,16,0,23.6
2020-04-15,11,0,26.2
2020-04-16,10,0,26.6
2020-04-17,16,13,27.8
2020-04-18,7,1,30.1
2020-04-19,19,9,34.6
2020-04-20,9,1,33.5
2020-04-21,16,15,33.5
2020-04-22,40,12,44.5
2020-04-23,22,19,49.1
2020-04-24,5,10,44.9
2020-04-25,13,10,47.1
2020-04-26,15,2,45.6
2020-04-27,16,4,48.3
2020-04-28,15,1,47.9
2020-04-29,30,0,44.2
2020-04-30,7,5,38.4
2020-05-01,14,9,41.8
2020-05-02,4,6,38.5
2020-05-03,11,4,37.0
2020-05-04,7,3,33.5
2020-05-05,14,5,33.1
2020-05-06,20,4,29.3
2020-05-07,12,8,31.2
2020-05-08,2,12,26.7
2020-05-09,1,5,25.5
2020-05-10,5,0,23.2
2020-05-11,4,1,22.1
2020-05-12,13,2,21.7
2020-05-13,4,2,15.5
2020-05-14,4,2,12.6
2020-05-15,18,0,18.6
2020-05-16,6,2,20.5
2020-05-17,18,4,25.5
2020-05-18,4,0,25.5
2020-05-19,5,1,22.5
2020-05-20,6,5,23.3
2020-05-21,0,0,21.7
2020-05-22,3,1,16.0
2020-05-23,0,1,13.7
2020-05-24,3,0,7.9
2020-05-25,4,1,8.0
2020-05-26,2,0,6.8
2020-05-27,2,2,5.3
2020-05-28,8,0,8.3
2020-05-29,3,0,8.4
2020-05-30,2,0,9.1
2020-05-31,0,0,8.0
2020-06-01,4,0,8.0
2020-06-02,0,0,7.3
2020-06-03,0,1,6.5
2020-06-04,2,1,4.2
2020-06-05,1,2,3.4
2020-06-06,1,0,3.1
2020-06-07,1,0,3.5
2020-06-08,0,0,1.9
2020-06-09,0,3,1.9
2020-06-10,3,0,3.0
2020-06-11,1,0,2.7
2020-06-12,0,2,2.3
2020-06-13,0,0,1.9
2020-06-14,0,0,1.5
2020-06-15,1,0,1.9
2020-06-16,0,1,1.9
2020-06-17,0,0,0.8
2020-06-18,1,0,0.7
2020-06-19,0,0,0.7
2020-06-20,1,1,1.1
2020-06-21,1,0,1.5
2020-06-22,4,1,2.6
2020-06-23,1,0,3.0
2020-06-24,0,4,3.0
2020-06-25,0,0,2.7
2020-06-26,0,0,2.7
2020-06-27,1,0,2.7
2020-06-28,0,0,2.3
2020-06-29,3,1,1.9
2020-06-30,1,0,1.9
2020-07-01,1,278,2.3
2020-07-02,1,1,2.7
2020-07-03,1,1,3.0
2020-07-04,0,0,2.6
2020-07-05,1,1,3.0
2020-07-06,3,1,3.1
2020-07-07,0,1,2.7
2020-07-08,1,1,2.6
2020-07-09,0,0,2.2
2020-07-10,0,1,1.9
2020-07-11,0,1,1.9
2020-07-12,0,1,1.5
2020-07-13,0,0,0.3
2020-07-14,0,0,0.3
2020-07-15,0,0,0.0
2020-07-16,3,0,1.2
2020-07-17,0,1,1.2
2020-07-18,0,1,1.2
2020-07-19,0,0,1.2
2020-07-20,1,2,1.6
2020-07-21,1,0,1.9
2020-07-22,0,0,1.9
2020-07-23,2,2,1.5
2020-07-24,1,0,1.9
2020-07-25,0,0,1.9
2020-07-26,1,0,2.3
2020-07-27,0,2,1.9
2020-07-28,4,1,3.1
2020-07-29,2,0,3.9
2020-07-30,0,1,3.1
2020-07-31,0,1,2.7
2020-08-01,0,4,2.7
2020-08-02,1,1,2.6
2020-08-03,0,0,2.6
2020-08-04,1,0,1.5
2020-08-05,2,0,1.5
2020-08-06,0,1,1.5
2020-08-07,0,0,1.5
2020-08-08,1,1,1.9
2020-08-09,0,0,1.6
2020-08-10,1,2,1.9
2020-08-11,3,1,2.7
2020-08-12,0,1,1.9
2020-08-13,2,0,2.6
2020-08-14,0,2,2.6
2020-08-15,0,2,2.2
