date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-05,1,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,1,0,0.1
2020-03-10,4,0,0.7
2020-03-11,4,0,1.4
2020-03-12,5,0,2.2
2020-03-13,6,0,3.1
2020-03-14,2,0,3.4
2020-03-15,1,0,3.6
2020-03-16,3,0,4.0
2020-03-17,5,0,4.2
2020-03-18,3,0,3.9
2020-03-19,12,0,5.0
2020-03-20,9,0,5.5
2020-03-21,10,0,6.8
2020-03-22,5,0,7.4
2020-03-23,23,0,10.5
2020-03-24,14,0,12.0
2020-03-25,24,0,15.3
2020-03-26,29,0,18.0
2020-03-27,38,0,22.6
2020-03-28,30,0,25.8
2020-03-29,28,0,29.4
2020-03-30,37,0,31.6
2020-03-31,42,0,36.0
2020-04-01,46,0,39.5
2020-04-02,43,0,41.7
2020-04-03,44,0,42.7
2020-04-04,45,0,45.0
2020-04-05,34,0,46.0
2020-04-06,40,0,46.5
2020-04-07,56,0,48.6
2020-04-08,41,0,47.9
2020-04-09,44,0,48.0
2020-04-10,45,0,48.2
2020-04-11,25,0,45.0
2020-04-12,34,0,45.0
2020-04-13,42,0,45.3
2020-04-14,48,0,44.1
2020-04-15,31,0,42.5
2020-04-16,54,0,44.1
2020-04-17,38,0,42.9
2020-04-18,42,0,45.6
2020-04-19,22,0,43.7
2020-04-20,33,0,42.3
2020-04-21,50,0,42.6
2020-04-22,41,0,44.2
2020-04-23,47,0,43.1
2020-04-24,46,0,44.4
2020-04-25,30,0,42.5
2020-04-26,22,0,42.5
2020-04-27,39,0,43.5
2020-04-28,72,0,46.9
2020-04-29,60,0,49.9
2020-04-30,63,0,52.5
2020-05-01,75,0,57.0
2020-05-02,35,0,57.8
2020-05-03,32,0,59.4
2020-05-04,61,0,62.8
2020-05-05,50,0,59.4
2020-05-06,52,0,58.1
2020-05-07,63,0,58.1
2020-05-08,43,0,53.1
2020-05-09,16,0,50.1
2020-05-10,13,0,47.1
2020-05-11,38,0,43.5
2020-05-12,31,0,40.5
2020-05-13,24,0,36.1
2020-05-14,17,0,28.7
2020-05-15,22,0,25.4
2020-05-16,17,0,25.6
2020-05-17,7,0,24.6
2020-05-18,18,0,21.5
2020-05-19,22,0,20.0
2020-05-20,8,0,17.5
2020-05-21,10,0,16.5
2020-05-22,21,0,16.3
2020-05-23,4,0,14.2
2020-05-24,11,0,14.9
2020-05-25,22,0,15.4
2020-05-26,62,0,21.8
2020-05-27,6,0,21.5
2020-05-28,6,0,20.8
2020-05-29,3,0,18.0
2020-05-30,3,0,17.9
2020-05-31,4,0,16.7
2020-06-01,5,0,14.1
2020-06-02,3,0,4.8
2020-06-03,6,0,4.7
2020-06-04,5,0,4.6
2020-06-05,2,0,4.4
2020-06-06,7,0,5.0
2020-06-07,2,0,4.7
2020-06-08,5,0,4.7
2020-06-09,3,0,4.7
2020-06-10,4,0,4.4
2020-06-11,2,0,3.9
2020-06-12,2,0,4.0
2020-06-13,3,0,3.3
2020-06-14,3,0,3.5
2020-06-15,2,0,3.0
2020-06-16,2,0,2.8
2020-06-17,5,0,3.0
2020-06-18,1,0,2.9
2020-06-19,3,0,3.0
2020-06-20,0,0,2.6
2020-06-21,2,0,2.4
2020-06-22,2,0,2.4
2020-06-23,5,0,2.9
2020-06-24,3,0,2.6
2020-06-25,4,0,3.0
2020-06-26,0,0,2.5
2020-06-27,1,0,2.6
2020-06-28,2,0,2.7
2020-06-29,1,0,2.5
2020-06-30,2,0,2.0
2020-07-01,1,0,1.7
2020-07-02,1,0,1.3
2020-07-03,0,0,1.3
2020-07-04,0,0,1.2
2020-07-05,0,0,0.8
2020-07-06,1,0,0.8
2020-07-07,5,0,1.3
2020-07-08,2,0,1.4
2020-07-09,1,0,1.4
2020-07-10,8,0,2.6
2020-07-11,4,0,3.3
2020-07-12,0,0,3.3
2020-07-13,3,0,3.6
2020-07-14,1,0,3.0
2020-07-15,4,0,3.3
2020-07-16,1,0,3.3
2020-07-17,1,0,2.3
2020-07-18,0,0,1.6
2020-07-19,1,0,1.7
2020-07-20,1,0,1.5
2020-07-21,5,0,2.1
2020-07-22,9,0,2.9
2020-07-23,5,0,3.5
2020-07-24,5,0,4.1
2020-07-25,1,0,4.2
