date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-24,1,0,0.0
2020-02-25,0,0,0.0
2020-02-26,0,0,0.0
2020-02-27,0,0,0.0
2020-02-28,0,0,0.0
2020-02-29,2,0,0.2
2020-03-01,0,0,0.2
2020-03-02,0,0,0.2
2020-03-03,0,0,0.2
2020-03-04,0,0,0.2
2020-03-05,1,0,0.4
2020-03-06,0,0,0.4
2020-03-07,0,0,0.2
2020-03-08,0,0,0.2
2020-03-09,2,0,0.4
2020-03-10,0,0,0.4
2020-03-11,2,0,0.6
2020-03-12,1,0,0.5
2020-03-13,3,0,0.9
2020-03-14,6,0,1.6
2020-03-15,1,0,1.7
2020-03-16,3,0,1.8
2020-03-17,9,0,2.9
2020-03-18,9,0,3.7
2020-03-19,9,0,4.6
2020-03-20,8,0,5.2
2020-03-21,10,0,5.6
2020-03-22,9,0,6.6
2020-03-23,14,0,7.9
2020-03-24,20,0,9.1
2020-03-25,23,0,10.7
2020-03-26,20,0,12.0
2020-03-27,19,0,13.2
2020-03-28,17,0,14.1
2020-03-29,15,0,14.7
2020-03-30,32,0,16.8
2020-03-31,32,0,18.2
2020-04-01,24,0,18.4
2020-04-02,21,0,18.5
2020-04-03,53,0,22.4
2020-04-04,34,0,24.3
2020-04-05,27,0,25.7
2020-04-06,50,0,27.8
2020-04-07,56,0,30.5
2020-04-08,42,0,32.6
2020-04-09,39,0,34.7
2020-04-10,27,0,31.7
2020-04-11,28,0,31.0
2020-04-12,32,0,31.6
2020-04-13,38,0,30.2
2020-04-14,42,0,28.6
2020-04-15,51,0,29.6
2020-04-16,61,0,32.1
2020-04-17,47,56,34.4
2020-04-18,53,47,37.3
2020-04-19,28,38,36.9
2020-04-20,31,47,36.0
2020-04-21,54,28,37.5
2020-04-22,50,15,37.3
2020-04-23,74,33,38.9
2020-04-24,60,31,40.4
2020-04-25,49,23,39.9
2020-04-26,41,22,41.4
2020-04-27,58,28,44.5
2020-04-28,72,14,46.5
2020-04-29,75,22,49.5
2020-04-30,76,17,49.6
2020-05-01,64,26,50.1
2020-05-02,32,28,48.2
2020-05-03,49,18,49.1
2020-05-04,57,4,49.0
2020-05-05,49,9,46.4
2020-05-06,48,26,43.2
2020-05-07,57,8,41.1
2020-05-08,35,5,37.7
