date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-02,2,0,0.0
2020-03-03,0,0,0.0
2020-03-04,2,0,0.4
2020-03-05,2,0,0.7
2020-03-06,0,0,0.7
2020-03-07,0,0,0.7
2020-03-08,0,0,0.7
2020-03-09,1,0,0.9
2020-03-10,3,0,1.4
2020-03-11,2,0,1.4
2020-03-12,4,0,1.7
2020-03-13,2,0,2.1
2020-03-14,1,0,2.3
2020-03-15,3,0,2.8
2020-03-16,8,0,3.9
2020-03-17,4,0,4.1
2020-03-18,15,0,6.3
2020-03-19,8,0,7.1
2020-03-20,12,0,8.7
2020-03-21,9,0,10.1
2020-03-22,7,0,10.8
2020-03-23,29,0,14.4
2020-03-24,20,0,17.2
2020-03-25,14,0,17.0
2020-03-26,28,0,20.3
2020-03-27,17,0,21.3
2020-03-28,27,0,24.3
2020-03-29,27,0,27.7
2020-03-30,40,0,29.7
2020-03-31,20,0,29.6
2020-04-01,30,0,32.3
2020-04-02,51,0,36.4
2020-04-03,39,0,40.0
2020-04-04,37,0,41.8
2020-04-05,24,0,41.3
2020-04-06,37,0,40.7
2020-04-07,38,0,43.8
2020-04-08,31,0,44.0
2020-04-09,40,0,42.1
2020-04-10,29,0,40.5
2020-04-11,34,0,39.9
2020-04-12,22,0,39.6
2020-04-13,28,0,38.1
2020-04-14,20,0,35.0
2020-04-15,35,0,35.7
2020-04-16,52,0,37.7
2020-04-17,31,19,38.0
2020-04-18,75,26,45.0
2020-04-19,33,18,46.9
2020-04-20,36,37,48.3
2020-04-21,36,42,51.0
2020-04-22,47,22,53.1
2020-04-23,32,49,49.7
2020-04-24,48,21,52.6
2020-04-25,46,32,47.7
2020-04-26,31,23,47.3
2020-04-27,52,23,50.0
2020-04-28,43,36,51.2
2020-04-29,46,26,51.0
2020-04-30,56,25,55.1
2020-05-01,35,23,52.9
2020-05-02,31,22,50.3
2020-05-03,43,16,52.4
2020-05-04,27,21,48.1
2020-05-05,35,18,46.8
2020-05-06,36,14,45.1
2020-05-07,48,12,43.7
2020-05-08,32,19,43.2
2020-05-09,10,17,39.6
2020-05-10,22,6,36.0
2020-05-11,23,8,35.3
2020-05-12,39,2,36.0
2020-05-13,28,14,34.6
2020-05-14,20,14,29.8
2020-05-15,18,7,27.4
2020-05-16,13,9,27.9
2020-05-17,17,7,27.0
2020-05-18,25,8,27.4
2020-05-19,37,5,27.0
2020-05-20,20,12,25.7
2020-05-21,23,14,26.2
2020-05-22,18,8,26.2
2020-05-23,13,2,26.2
2020-05-24,7,9,24.5
2020-05-25,18,4,23.3
2020-05-26,14,5,19.4
2020-05-27,13,7,18.1
2020-05-28,23,3,18.2
2020-05-29,5,6,15.9
2020-05-30,10,0,15.4
2020-05-31,9,0,15.8
2020-06-01,11,0,14.6
2020-06-02,20,19,15.6
2020-06-03,11,11,15.3
2020-06-04,13,7,13.5
2020-06-05,9,11,14.2
2020-06-06,6,7,13.6
2020-06-07,8,5,13.3
2020-06-08,22,0,15.2
2020-06-09,11,8,13.7
2020-06-10,17,3,14.7
2020-06-11,15,3,15.1
2020-06-12,7,7,14.8
2020-06-13,9,8,15.2
2020-06-14,11,9,15.8
2020-06-15,13,3,14.2
2020-06-16,8,8,13.7
2020-06-17,14,0,13.2
2020-06-18,10,0,12.3
2020-06-19,11,19,13.0
2020-06-20,2,0,11.8
2020-06-21,3,1,10.5
2020-06-22,7,0,9.5
2020-06-23,1,13,8.2
2020-06-24,3,0,6.3
2020-06-25,7,0,5.8
2020-06-26,5,4,4.8
2020-06-27,9,0,6.0
2020-06-28,4,1,6.1
2020-06-29,3,2,5.4
2020-06-30,4,3,6.0
2020-07-01,5,844,6.4
2020-07-02,5,3,6.0
2020-07-03,4,4,5.8
2020-07-04,2,4,4.7
2020-07-05,4,14,4.6
2020-07-06,4,0,4.8
2020-07-07,3,3,4.6
2020-07-08,12,8,5.8
2020-07-09,9,3,6.5
2020-07-10,5,7,6.7
2020-07-11,2,12,6.6
2020-07-12,2,6,6.4
2020-07-13,3,4,6.2
2020-07-14,6,0,6.7
2020-07-15,2,0,5.0
2020-07-16,5,6,4.3
2020-07-17,3,2,3.9
2020-07-18,6,4,4.7
2020-07-19,2,5,4.6
2020-07-20,4,6,4.8
2020-07-21,3,2,4.3
2020-07-22,5,2,4.8
2020-07-23,1,5,4.1
2020-07-24,5,3,4.5
2020-07-25,8,0,4.8
2020-07-26,5,8,5.3
2020-07-27,7,7,5.8
2020-07-28,3,4,5.8
2020-07-29,9,5,6.5
2020-07-30,4,7,7.1
2020-07-31,12,7,8.2
2020-08-01,6,3,7.8
2020-08-02,4,6,7.7
2020-08-03,6,13,7.6
2020-08-04,8,6,8.4
2020-08-05,2,7,7.2
2020-08-06,5,8,7.3
2020-08-07,7,1,6.5
2020-08-08,1,3,5.7
2020-08-09,5,5,5.8
2020-08-10,5,3,5.6
2020-08-11,11,7,6.2
2020-08-12,2,2,6.1
2020-08-13,4,0,6.0
2020-08-14,15,17,7.4
2020-08-15,3,5,7.7
2020-08-16,6,11,7.9
2020-08-17,5,3,7.9
2020-08-18,5,7,6.8
2020-08-19,6,6,7.6
2020-08-20,7,3,8.1
2020-08-21,3,4,6.0
2020-08-22,2,4,5.8
2020-08-23,5,5,5.7
2020-08-24,7,4,6.0
