date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,1,0,0.2
2020-03-04,0,0,0.2
2020-03-05,0,0,0.2
2020-03-06,1,0,0.4
2020-03-07,1,0,0.6
2020-03-08,0,0,0.6
2020-03-09,0,0,0.6
2020-03-10,1,0,0.7
2020-03-11,0,0,0.7
2020-03-12,1,0,0.9
2020-03-13,3,0,1.3
2020-03-14,2,0,1.6
2020-03-15,1,0,1.8
2020-03-16,0,0,1.8
2020-03-17,3,0,2.1
2020-03-18,7,0,3.6
2020-03-19,2,0,3.9
2020-03-20,4,0,4.1
2020-03-21,8,0,5.4
2020-03-22,5,0,6.2
2020-03-23,10,0,8.4
2020-03-24,4,0,8.7
2020-03-25,12,0,9.7
2020-03-26,14,0,12.3
2020-03-27,14,0,14.5
2020-03-28,10,0,14.8
2020-03-29,12,0,16.4
2020-03-30,17,0,17.9
2020-03-31,17,0,20.7
2020-04-01,17,0,21.8
2020-04-02,14,0,21.8
2020-04-03,20,0,23.1
2020-04-04,10,0,23.1
2020-04-05,14,0,23.6
2020-04-06,13,0,22.7
2020-04-07,22,0,23.7
2020-04-08,28,0,26.2
2020-04-09,17,0,26.7
2020-04-10,18,0,26.3
2020-04-11,26,0,29.8
2020-04-12,15,0,30.0
2020-04-13,16,0,30.6
2020-04-14,17,0,29.6
2020-04-15,22,0,28.2
2020-04-16,28,0,30.7
2020-04-17,14,39,29.8
2020-04-18,13,25,27.0
2020-04-19,15,16,26.9
2020-04-20,21,15,28.1
2020-04-21,20,8,28.7
2020-04-22,38,19,32.2
2020-04-23,25,23,31.5
2020-04-24,39,24,36.9
2020-04-25,12,16,36.7
2020-04-26,23,12,38.4
2020-04-27,30,5,40.3
2020-04-28,34,8,43.4
2020-04-29,31,9,41.8
2020-04-30,22,8,41.2
2020-05-01,29,7,39.1
2020-05-02,13,8,39.3
2020-05-03,9,10,36.3
2020-05-04,22,8,34.5
2020-05-05,12,0,29.7
2020-05-06,22,6,27.9
2020-05-07,16,11,26.5
2020-05-08,18,6,24.1
2020-05-09,10,10,23.5
2020-05-10,26,3,27.2
2020-05-11,18,2,26.4
2020-05-12,8,0,25.5
2020-05-13,4,7,21.6
2020-05-14,11,2,20.5
2020-05-15,2,1,17.1
2020-05-16,7,4,16.4
2020-05-17,6,1,12.1
2020-05-18,9,0,10.1
2020-05-19,19,0,12.5
2020-05-20,13,1,14.4
2020-05-21,9,3,14.1
2020-05-22,9,1,15.5
2020-05-23,1,1,14.2
2020-05-24,10,1,15.1
2020-05-25,3,0,13.8
2020-05-26,5,2,10.8
2020-05-27,32,2,14.9
2020-05-28,26,0,18.5
2020-05-29,11,3,19.0
2020-05-30,4,1,19.7
2020-05-31,12,2,20.1
2020-06-01,5,3,20.5
2020-06-02,12,0,22.0
2020-06-03,4,2,16.0
2020-06-04,10,0,12.5
2020-06-05,8,1,11.9
2020-06-06,9,2,12.9
2020-06-07,4,0,11.2
2020-06-08,3,1,10.8
2020-06-09,4,2,9.1
2020-06-10,2,0,8.6
2020-06-11,5,0,7.6
2020-06-12,2,1,6.2
2020-06-13,4,2,5.2
2020-06-14,2,2,4.7
2020-06-15,0,0,4.1
2020-06-16,2,1,3.7
2020-06-17,2,0,3.7
2020-06-18,3,1,3.2
2020-06-19,0,1,2.8
2020-06-20,1,0,2.1
2020-06-21,0,0,1.7
2020-06-22,0,0,1.7
