date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-02,1,0,0.0
2020-03-03,0,0,0.0
2020-03-04,1,0,0.1
2020-03-05,1,0,0.3
2020-03-06,2,0,0.7
2020-03-07,0,0,0.7
2020-03-08,0,0,0.7
2020-03-09,1,0,0.8
2020-03-10,1,0,1.0
2020-03-11,1,0,1.1
2020-03-12,0,0,0.9
2020-03-13,1,0,0.7
2020-03-14,1,0,0.8
2020-03-15,1,0,1.0
2020-03-16,3,0,1.4
2020-03-17,2,0,1.6
2020-03-18,5,0,2.2
2020-03-19,2,0,2.6
2020-03-20,6,0,3.4
2020-03-21,3,0,3.9
2020-03-22,3,0,4.2
2020-03-23,6,0,4.7
2020-03-24,3,0,4.8
2020-03-25,4,0,4.7
2020-03-26,11,0,6.3
2020-03-27,15,0,7.9
2020-03-28,10,0,9.0
2020-03-29,11,0,10.4
2020-03-30,11,0,11.3
2020-03-31,20,0,14.3
2020-04-01,21,0,17.2
2020-04-02,17,0,18.2
2020-04-03,18,0,18.7
2020-04-04,15,0,19.6
2020-04-05,11,0,19.6
2020-04-06,19,0,21.0
2020-04-07,14,0,20.0
2020-04-08,16,0,19.2
2020-04-09,18,0,19.3
2020-04-10,12,0,18.3
2020-04-11,13,0,17.9
2020-04-12,20,0,19.5
2020-04-13,21,0,19.9
2020-04-14,10,0,19.1
2020-04-15,8,0,17.7
2020-04-16,30,0,19.8
2020-04-17,19,11,21.0
2020-04-18,15,8,21.4
2020-04-19,9,28,19.5
2020-04-20,9,4,17.3
2020-04-21,14,10,18.1
2020-04-22,11,17,18.6
2020-04-23,17,9,16.3
2020-04-24,17,8,16.0
2020-04-25,18,10,16.5
2020-04-26,25,5,19.2
2020-04-27,19,5,21.0
2020-04-28,12,9,20.6
2020-04-29,25,9,23.1
2020-04-30,26,3,24.7
2020-05-01,8,11,23.1
2020-05-02,12,9,22.1
2020-05-03,14,2,20.2
2020-05-04,8,5,18.3
2020-05-05,16,10,19.0
2020-05-06,12,2,16.7
2020-05-07,13,7,14.4
2020-05-08,10,1,14.8
2020-05-09,7,5,13.9
2020-05-10,5,5,12.3
2020-05-11,18,5,14.1
2020-05-12,8,5,12.7
2020-05-13,4,1,11.3
2020-05-14,4,2,9.7
2020-05-15,6,1,9.0
2020-05-16,5,1,8.7
2020-05-17,3,1,8.4
2020-05-18,5,3,6.0
2020-05-19,5,0,5.5
2020-05-20,9,3,6.4
2020-05-21,2,4,6.1
2020-05-22,4,1,5.7
2020-05-23,1,4,5.0
2020-05-24,2,0,4.8
2020-05-25,5,0,4.9
2020-05-26,5,0,4.9
2020-05-27,2,2,3.6
2020-05-28,4,0,4.0
2020-05-29,6,0,4.4
2020-05-30,0,1,4.2
2020-05-31,2,0,4.2
2020-06-01,4,0,4.0
2020-06-02,1,0,3.3
2020-06-03,2,0,3.3
