date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,1,0,0.0
2020-03-04,0,0,0.0
2020-03-05,1,0,0.1
2020-03-06,0,0,0.1
2020-03-07,0,0,0.1
2020-03-08,0,0,0.1
2020-03-09,0,0,0.1
2020-03-10,3,0,0.6
2020-03-11,1,0,0.7
2020-03-12,4,0,1.2
2020-03-13,5,0,2.0
2020-03-14,0,0,2.0
2020-03-15,2,0,2.3
2020-03-16,1,0,2.4
2020-03-17,1,0,2.1
2020-03-18,8,0,3.2
2020-03-19,7,0,3.7
2020-03-20,9,0,4.2
2020-03-21,9,0,5.6
2020-03-22,5,0,6.1
2020-03-23,14,0,8.1
2020-03-24,17,0,10.5
2020-03-25,17,0,11.9
2020-03-26,12,0,12.6
2020-03-27,18,0,14.0
2020-03-28,9,0,14.0
2020-03-29,12,0,15.0
2020-03-30,25,0,16.7
2020-03-31,20,0,17.2
2020-04-01,13,0,16.6
2020-04-02,22,0,18.1
2020-04-03,17,0,18.0
2020-04-04,19,0,19.5
2020-04-05,26,0,21.6
2020-04-06,19,0,20.7
2020-04-07,26,0,21.6
2020-04-08,31,0,24.3
2020-04-09,32,0,25.9
2020-04-10,27,0,27.4
2020-04-11,19,0,27.4
2020-04-12,18,0,26.2
2020-04-13,14,0,25.4
2020-04-14,20,0,24.5
2020-04-15,14,0,21.9
2020-04-16,30,0,21.6
2020-04-17,33,12,22.5
2020-04-18,14,10,21.7
2020-04-19,22,39,22.4
2020-04-20,27,28,24.4
2020-04-21,34,19,26.5
2020-04-22,39,20,30.3
2020-04-23,39,34,31.6
2020-04-24,25,21,30.4
2020-04-25,24,14,32.0
2020-04-26,30,16,33.2
2020-04-27,35,19,34.4
2020-04-28,60,30,38.3
2020-04-29,54,15,40.6
2020-04-30,56,4,43.2
2020-05-01,62,31,48.9
2020-05-02,46,15,52.2
2020-05-03,32,27,52.4
2020-05-04,47,12,54.3
2020-05-05,36,20,50.7
2020-05-06,45,16,49.3
2020-05-07,51,25,48.6
2020-05-08,24,14,42.7
2020-05-09,33,30,40.8
2020-05-10,35,5,41.3
2020-05-11,71,7,44.9
2020-05-12,29,9,43.8
2020-05-13,47,34,44.2
2020-05-14,31,23,41.1
2020-05-15,29,38,41.9
2020-05-16,19,15,39.7
2020-05-17,20,7,37.4
2020-05-18,28,5,30.9
2020-05-19,34,1,31.6
2020-05-20,40,21,30.5
2020-05-21,40,16,31.9
2020-05-22,27,13,31.6
2020-05-23,14,13,30.9
2020-05-24,9,4,29.2
2020-05-25,9,0,26.3
2020-05-26,8,1,22.4
2020-05-27,11,39,18.0
2020-05-28,13,1,13.9
2020-05-29,31,0,14.5
2020-05-30,15,12,14.6
2020-05-31,3,7,13.7
